Bee,Degree,AverageOvaryWidth,AverageWingLength,move_perc,ovary_wing_ratio,interactions_with_queen
ArUcoTag#1,3823.3628757369765,0.18375,2.6485,0.4952134306708676,0.06937889371342269,3051
ArUcoTag#10,3108.708929895338,0.395,2.499,0.43114119556881403,0.15806322529011604,4306
ArUcoTag#11,1922.1104305652864,0.8835000000000001,3.0884999999999994,0.516557207872867,0.2860611947547354,1546
ArUcoTag#12,3357.6314080065413,0.6375,2.7415,0.5890307080823277,0.23253693233631223,5979
ArUcoTag#13,3546.6913553471372,0.5715,2.439,0.5189104929980396,0.23431734317343172,2901
ArUcoTag#14,3363.1756130540994,0.3305,2.4805,0.5546076351331437,0.13323926627696028,2257
ArUcoTag#17,3365.149913339248,0.21124999999999997,2.6725,0.6163989560095965,0.07904583723105706,3766
ArUcoTag#18,2957.2954299091434,0.43275,2.891,0.4855110939459165,0.149688689034936,1947
ArUcoTag#19,3510.16442152701,0.5025,2.667,0.571698703311977,0.18841394825646793,7956
ArUcoTag#2,1599.193527067719,0.544,2.7615,0.39955754805537613,0.19699438710845557,1076
ArUcoTag#20,3277.7496783727106,0.6375,2.9855,0.620041074867673,0.2135320716797856,6230
ArUcoTag#21,2856.0238601590445,0.6735,3.0635,0.5212495421204812,0.21984658070834015,6120
ArUcoTag#22,3574.384092179494,0.646,2.7775,0.47188934534659865,0.2325832583258326,2132
ArUcoTag#23,2431.562345909838,0.593,2.649,0.5362614641401479,0.2238580596451491,2474
ArUcoTag#24,2782.5305041094593,0.8,2.78,0.509808118151574,0.2877697841726619,2827
ArUcoTag#25,3535.8671531530954,0.45599999999999996,2.714,0.5112087400142941,0.16801768607221812,3237
ArUcoTag#26,3391.5675345896084,0.433,2.7435,0.5975103067863894,0.15782759249134318,7522
ArUcoTag#27,2647.145285283476,0.70825,3.035,0.5062577007009971,0.23336079077429983,6088
ArUcoTag#28,3126.363621913421,0.74925,2.5325,0.5027014264087001,0.2958538993089832,2152
ArUcoTag#29,2992.4786262935954,0.3855,2.522,0.5550657748425889,0.15285487708168122,3518
ArUcoTag#3,3309.7669794621775,0.5425,2.711,0.5533029522529377,0.200110660272962,2743
ArUcoTag#31,2978.0877994322127,0.6715,2.862,0.575991768292632,0.2346261355695318,3815
ArUcoTag#33,2999.8885818279077,0.40299999999999997,2.3365,0.5576559498285715,0.1724802054354804,1396
ArUcoTag#34,2421.4954206131247,0.52525,2.8585,0.5507584861034717,0.1837502186461431,1484
ArUcoTag#36,3913.611679425014,0.28575,2.2685,0.5410549996377577,0.1259642935860701,11102
ArUcoTag#37,3910.801868849466,0.2565,2.1995,0.3909702322730129,0.1166174130484201,2410
ArUcoTag#38,3494.557844765669,0.6645,2.298,0.5671614917007717,0.2891644908616188,2316
ArUcoTag#39,3330.576971746835,0.5775,2.8615,0.5070301902341235,0.20181722872619257,2414
ArUcoTag#4,2783.5408203816205,0.62525,3.0005,0.4300245468603396,0.20838193634394264,1486
ArUcoTag#40,3191.8334474111284,0.97025,2.862,0.5576638698295174,0.33901118099231303,1882
ArUcoTag#42,4134.693719747048,0.642,2.2075,0.44433244632951413,0.29082672706681767,4276
ArUcoTag#43,3824.371430126777,0.49,2.4625,0.4739185063207178,0.19898477157360406,2749
ArUcoTag#44,2488.858225694684,0.5955,2.3825,0.5625938245126229,0.24994753410283319,1103
ArUcoTag#46,2660.6370465179657,0.3875,2.7915,0.5234657773024625,0.13881425756761598,775
ArUcoTag#47,4215.250117001483,0.15175,2.4125,0.45205173304174673,0.06290155440414508,2252
ArUcoTag#48,3466.2795390576207,0.853,2.3855,0.4681435277386983,0.3575770278767554,2395
ArUcoTag#49,4163.80657052468,0.24149999999999996,2.181,0.5137274916546312,0.1107290233837689,2547
ArUcoTag#5,3268.0056700770833,0.4905,2.7795,0.5767153392525365,0.1764705882352941,3454
ArUcoTag#50,1392.470691349576,0.128,2.2105,0.5842843105591656,0.05790545125537209,369
ArUcoTag#53,2910.5454702719076,0.2565,2.4135,0.5884226638355251,0.10627719080174021,3606
ArUcoTag#54,2813.5078047988954,0.598,2.8525,0.4661692455755652,0.20964066608238385,1779
ArUcoTag#55,3140.768119054111,0.795,2.8185,0.4790821224591974,0.28206492815327305,3134
ArUcoTag#58,4003.540596307799,0.1405,2.231,0.5164218021546596,0.06297624383684447,2642
ArUcoTag#59,2950.4086200434435,0.5255,3.049,0.6140316205864306,0.17235159068547065,4931
ArUcoTag#6,2873.482096517924,0.84375,2.768,0.4571924275387359,0.30482297687861276,1611
ArUcoTag#60,3149.276417525686,0.6415,2.168,0.5324105070401748,0.29589483394833943,2358
ArUcoTag#7,3056.095644005255,0.39275,2.5975,0.5841935220987842,0.15120307988450432,2316
ArUcoTag#8,3358.8935500098055,0.762,2.551,0.5217999179038129,0.2987063896511172,3657
ArUcoTag#9,2942.158040557328,0.80825,2.5235,0.4824829884154896,0.32028928076084806,2125
