feature,model_spec,term,estimate,std.error,statistic,p.value
Between,Between ~ 1 + QR + (1 | Trial) + (1 | QR:Trial) + (1 | Day_Zeit) +      (1 | Day_Zeit:Trial),(Intercept),0.027038993064048264,5.322644343922347e-4,50.7999244678497,2.7957639794722815e-11
Between,Between ~ 1 + QR + (1 | Trial) + (1 | QR:Trial) + (1 | Day_Zeit) +      (1 | Day_Zeit:Trial),QRTRUE,-0.002434353273786974,6.285042261258924e-4,-3.8732488543352477,1.0777645568102809e-4
Close,Close ~ 1 + QR + (1 | Trial) + (1 | QR:Trial) + (1 | Day_Zeit) +      (1 | Day_Zeit:Trial),(Intercept),84.02003645577919,7.779684250825256,10.799928859177863,2.7215174350401293e-5
Close,Close ~ 1 + QR + (1 | Trial) + (1 | QR:Trial) + (1 | Day_Zeit) +      (1 | Day_Zeit:Trial),QRTRUE,-23.07775908537536,7.219048044587991,-3.196787019955685,0.03299570258465851
Degree,Degree ~ 1 + QR + (1 | Trial) + (1 | QR:Trial) + (1 | Day_Zeit) +      (1 | Day_Zeit:Trial),(Intercept),4052.1429027102126,405.01576433301284,10.00490168421803,5.47599526267874e-5
Degree,Degree ~ 1 + QR + (1 | Trial) + (1 | QR:Trial) + (1 | Day_Zeit) +      (1 | Day_Zeit:Trial),QRTRUE,-1291.5697343940558,376.88305599515195,-3.4269774505614015,0.026603292015194936
Initiation.Freq,Initiation.Freq ~ 1 + QR + (1 | Trial) + (1 | QR:Trial) + (1 |      Day_Zeit) + (1 | Day_Zeit:Trial),(Intercept),0.4981149661168079,0.0018735357229942753,265.868945013081,9.42213380608927e-16
Initiation.Freq,Initiation.Freq ~ 1 + QR + (1 | Trial) + (1 | QR:Trial) + (1 |      Day_Zeit) + (1 | Day_Zeit:Trial),QRTRUE,5.735643549308298e-4,0.0026116867189632494,0.21961453139315087,0.8370105042694829
N90.Day4,N90.Day4 ~ 1 + QR + (1 | Trial) + (1 | QR:Trial) + (1 | Day_Zeit) +      (1 | Day_Zeit:Trial),(Intercept),60.69121214373248,5.626570230638713,10.786537740744237,7.861901017097861e-6
N90.Day4,N90.Day4 ~ 1 + QR + (1 | Trial) + (1 | QR:Trial) + (1 | Day_Zeit) +      (1 | Day_Zeit:Trial),QRTRUE,-0.9904772541509026,6.846299464568161,-0.14467337563554536,0.8919701874823016
clust,clust ~ 1 + QR + (1 | Trial) + (1 | QR:Trial) + (1 | Day_Zeit) +      (1 | Day_Zeit:Trial),(Intercept),0.04420269603800042,0.002558920581240503,17.273961670421215,1.0940570870749642e-6
clust,clust ~ 1 + QR + (1 | Trial) + (1 | QR:Trial) + (1 | Day_Zeit) +      (1 | Day_Zeit:Trial),QRTRUE,-0.011294966784267666,0.0021069938782333373,-5.360702231246262,0.005817650936906131
mean_vel,mean_vel ~ 1 + QR + (1 | Trial) + (1 | QR:Trial) + (1 | Day_Zeit) +      (1 | Day_Zeit:Trial),(Intercept),5.729012848569227,0.42012533828026183,13.636437335630193,3.4215490636667155e-5
mean_vel,mean_vel ~ 1 + QR + (1 | Trial) + (1 | QR:Trial) + (1 | Day_Zeit) +      (1 | Day_Zeit:Trial),QRTRUE,-0.8158956499848835,0.2767482368637672,-2.94815121220273,0.04206411834005974
move_perc,move_perc ~ 1 + QR + (1 | Trial) + (1 | QR:Trial) + (1 | Day_Zeit) +      (1 | Day_Zeit:Trial),(Intercept),0.596734223108883,0.014416790487911094,41.39161373048061,1.1241866807156692e-11
move_perc,move_perc ~ 1 + QR + (1 | Trial) + (1 | QR:Trial) + (1 | Day_Zeit) +      (1 | Day_Zeit:Trial),QRTRUE,-0.04350756166190116,0.01815141676001253,-2.396923735327816,0.07461038749716689
