id,colony,head_width_mm,IT_span_mm,left_MargCell_mm,right_MargCell_mm
Bee1,Col1,3.225,3.091,2.047,2.017
Bee2,Col1,3.044,2.949,1.968,1.981
Bee3,Col1,3.562,3.636,2.502,2.567
Bee4,Col1,3.093,3.092,2.032,2.057
Bee5,Col1,3.161,2.963,1.802,1.993
Bee6,Col1,3.394,3.446,2.27,2.306
Bee7,Col1,3.496,3.603,2.384,2.405
Bee8,Col1,3.075,2.875,2.013,2.058
Bee9,Col1,3.19,3.206,2.047,2.039
Bee10,Col1,3.804,3.952,2.64,2.668
Bee11,Col1,3.825,3.921,2.68,2.678
Bee12,Col1,3.48,3.676,2.33,2.393
Bee13,Col1,3.437,3.571,2.469,2.441
Bee14,Col1,3.031,3.116,1.972,1.952
Bee15,Col1,3.733,3.5,2.69,2.712
Bee16,Col1,3.51,3.644,2.391,2.307
Bee17,Col1,3.469,3.213,2.325,2.392
Bee18,Col1,3.461,3.38,2.303,2.286
Bee19,Col1,3.609,3.637,2.243,2.44
Bee20,Col1,3.623,3.695,2.304,2.581
Bee21,Col2,2.526,2.353,1.565,1.584
Bee22,Col2,2.88,2.831,1.924,1.918
Bee23,Col2,2.82,2.853,1.803,1.859
Bee24,Col2,3.082,2.961,2.008,1.997
Bee25,Col2,3.041,2.994,2.087,2.084
Bee26,Col2,3.45,3.307,2.536,2.495
Bee27,Col2,3.254,3.218,2.105,2.199
Bee28,Col2,3.229,3.374,1.99,2.056
Bee29,Col2,2.823,2.845,1.733,1.652
Bee30,Col2,3.137,3.197,2.171,2.178
Bee31,Col2,2.868,2.771,1.798,1.803
Bee32,Col2,2.894,2.713,1.769,1.88
Bee33,Col2,3.189,2.902,2.098,2.078
Bee34,Col2,2.984,2.774,2.098,2.132
Bee35,Col2,3.03,3.04,2.159,2.052
Bee36,Col3,3.713,4.078,2.639,2.653
Bee37,Col3,3.404,3.51,2.447,2.435
Bee38,Col3,3.097,2.926,2.15,2.15
Bee39,Col3,3.676,3.88,2.706,2.709
Bee40,Col2,3.041,2.838,2.043,2.006
Bee41,Col4,4.054,4.135,3.047,3.082
Bee42,Col4,4.12,4.271,3.038,2.982
Bee43,Col4,3.678,3.934,2.746,2.82
Bee44,Col4,3.96,4.086,2.983,3.033
Bee45,Col4,3.839,4.012,2.821,2.79
Bee46,Col4,3.881,3.574,2.754,2.699
Bee47,Col4,3.637,3.491,2.578,2.5
Bee48,Col4,3.709,3.66,2.675,2.681
Bee49,Col4,3.443,3.658,2.591,2.621
Bee50,Col4,3.631,3.668,2.555,2.531
