feature,model_spec,term,estimate,std.error,statistic,p.value,wald_chi2,wald_df,wald_p,disp_contrast_estimate,disp_contrast_SE,disp_contrast_stat,disp_contrast_p
Assortativity,Assortativity ~ 1 + QR + (1 | Trial) + (1 | Day_Zeit),(Intercept),-0.026313281151778195,0.0013556679781540008,-19.40982716697987,6.374111359781531e-84,121.04093059118183,1,3.743286519424659e-28,0.2173939178462649,0.03046491611289771,7.13587777628012,1.2277569071417274e-12
Assortativity,Assortativity ~ 1 + QR + (1 | Trial) + (1 | Day_Zeit),QRQueenless,0.004719766926847945,4.289971684611993e-4,11.001860324108002,3.7432865194246836e-28,121.04093059118183,1,3.743286519424659e-28,0.2173939178462649,0.03046491611289771,7.13587777628012,1.2277569071417274e-12
Average.Clustering,Average.Clustering ~ 1 + QR + (1 | Trial) + (1 | Day_Zeit),(Intercept),0.9226967430465615,0.008618627420017165,107.05843263436067,0,409.78667692975,1,4.0790727695427707e-91,0.32259768302742886,0.03268265298564342,9.870608826313367,1.330405092432667e-22
Average.Clustering,Average.Clustering ~ 1 + QR + (1 | Trial) + (1 | Day_Zeit),QRQueenless,0.021571021859114938,0.0010655940864720975,20.24318840819672,4.0790727695427407e-91,409.78667692975,1,4.0790727695427707e-91,0.32259768302742886,0.03268265298564342,9.870608826313367,1.330405092432667e-22
GlobalEfficiency,GlobalEfficiency ~ 1 + QR + (1 | Trial) + (1 | Day_Zeit),(Intercept),75.92343715817083,7.5246271139098475,10.08999329917898,6.11736942651752e-24,1311.46590334097,1,3.643581798322396e-287,-1.1795250414595677,0.02965444492211961,-39.775657394947416,3.392825682580484e-273
GlobalEfficiency,GlobalEfficiency ~ 1 + QR + (1 | Trial) + (1 | Day_Zeit),QRQueenless,30.725511817338255,0.8484390011974177,36.21416716343163,3.6435817983226823e-287,1311.46590334097,1,3.643581798322396e-287,-1.1795250414595677,0.02965444492211961,-39.775657394947416,3.392825682580484e-273
Modularity,Modularity ~ 1 + QR + (1 | Trial) + (1 | Day_Zeit),(Intercept),0.017537514486904757,0.005647331143273675,3.105451768627564,0.0018998860254661198,18.879594358137613,1,1.3923409961396035e-5,0.06988940985731652,0.03380370005501018,2.0675076912758823,0.03878057187838918
Modularity,Modularity ~ 1 + QR + (1 | Trial) + (1 | Day_Zeit),QRQueenless,0.004270504086996072,9.828399753768243e-4,4.3450655182790525,1.3923409961396032e-5,18.879594358137613,1,1.3923409961396035e-5,0.06988940985731652,0.03380370005501018,2.0675076912758823,0.03878057187838918
Sum,Sum ~ 1 + QR + (1 | Trial) + (1 | Day_Zeit),(Intercept),181.4350546125059,NA,NA,NA,1619.0005774335198,1,0,-1.0959655874542011,0.029393910973584708,-37.285463252545995,3.266773043791083e-246
Sum,Sum ~ 1 + QR + (1 | Trial) + (1 | Day_Zeit),QRQueenless,55070.5701867851,1368.6615642565857,40.23680625290133,0,1619.0005774335198,1,0,-1.0959655874542011,0.029393910973584708,-37.285463252545995,3.266773043791083e-246
Transitivity,Transitivity ~ 1 + QR + (1 | Trial) + (1 | Day_Zeit),(Intercept),0.9215133012096766,0.008937705718580451,103.10401015933626,0,380.0882409688241,1,1.1905559364537184e-84,0.33585727371643975,0.03212806307868188,10.453704379685842,4.179087294113482e-25
Transitivity,Transitivity ~ 1 + QR + (1 | Trial) + (1 | Day_Zeit),QRQueenless,0.021975601326272323,0.0011271936947798006,19.49585189133381,1.1905559364537095e-84,380.0882409688241,1,1.1905559364537184e-84,0.33585727371643975,0.03212806307868188,10.453704379685842,4.179087294113482e-25
